_id,name,slug,description,parentCategory,image,status,createdAt,updatedAt
6785ff490606a301da311001,Grocery,grocery,"Everyday essentials, food, pantry items, and beverages.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311002,Fresh Produce,fresh-produce,"Fresh fruits, vegetables, and herbs.",6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311003,Dairy & Eggs,dairy-eggs,"Milk, cheese, yogurt, butter, and eggs.",6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311004,Meat & Seafood,meat-seafood,"Fresh and frozen meat, poultry, and seafood.",6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311005,Food & Beverages,food-beverages,"Packaged foods, snacks, drinks, pantry staples.",6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311010,Electronics & Appliances,electronics-appliances,"Gadgets, consumer electronics, home and kitchen appliances.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311011,Smart Home,smart-home,Connected devices for home automation and convenience.,6785ff490606a301da311010,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311012,Lighting & Electrical,lighting-electrical,"Lighting fixtures, bulbs, electrical supplies and components.",6785ff490606a301da311010,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311020,Fashion & Accessories,fashion-accessories,"Clothing, footwear, jewelry, watches, bags, and fashion accessories.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311021,Bags & Accessories,bags-accessories,"Handbags, wallets, belts, scarves, hats, and other fashion accessories.",6785ff490606a301da311020,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311022,Jewelry & Watches,jewelry-watches,"Fine and fashion jewelry, watches for men, women, and kids.",6785ff490606a301da311020,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311023,Luggage & Bags,luggage-bags,"Suitcases, travel bags, backpacks, and briefcases.",6785ff490606a301da311020,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311030,Home & Living,home-living,"Furniture, decor, kitchenware, home essentials, and improvement.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311031,Home Decor & Furnishings,home-decor-furnishings,"Furniture, decorations, textiles, rugs, and lighting.",6785ff490606a301da311030,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311032,Kitchen & Dining,kitchen-dining,"Cookware, bakeware, tableware, kitchen tools, and small appliances.",6785ff490606a301da311030,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311040,Beauty & Personal Care,beauty-personal-care,"Skincare, makeup, hair care, fragrances, bath & body, personal hygiene.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311050,Baby & Kids,baby-kids,"Products for babies and children, including care, feeding, toys, and clothing.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311060,Books & Media,books-media,"Books, magazines, music, movies, and related media.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311061,Office & Stationery,office-stationery,"Office supplies, writing instruments, paper products, and stationery.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311070,Sports & Fitness,sports-fitness,"Sporting goods, fitness equipment, activewear, and outdoor gear.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311071,Garden & Outdoor,garden-outdoor,"Gardening tools, plants, seeds, outdoor furniture, and patio items.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311080,Automotive,automotive,"Car parts, accessories, maintenance products, and tools.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da311090,Pet Supplies,pet-supplies,"Food, toys, grooming products, and accessories for pets.",,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da31a001,ice creams,ice-creams,Various types and flavors of ice cream.,6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da31a002,pan bahar,pan-bahar,Pan Bahar and related mouth freshener products.,6785ff490606a301da311001,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da31a003,Electronics,electronics,Consumer electronics and gadgets.,6785ff490606a301da311010,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
6785ff490606a301da31a004,Fashion,fashion,"Clothing, footwear, and apparel.",6785ff490606a301da311020,/api/placeholder/200/200,active,2023-10-27T10:00:00.000Z,2023-10-27T10:00:00.000Z
